,Q147.OtherInfoAreas,Q147.OtherInfoAreas.Reponse1.Level1,Q147.OtherInfoAreas.Reponse1.Level2,Q147.OtherInfoAreas.Reponse1.Level3,Q147.OtherInfoAreas.Reponse2.Level1,Q147.OtherInfoAreas.Reponse2.Level2,,Q147.OtherInfoAreas.Reponse3.Level1,Q148.IdeasOfChanges,Q150.HelpToImplementChanges,Q150.HelpToImplementChanges.Reponse1.Level1,Q150.HelpToImplementChanges.Reponse1.Level2,Q150.HelpToImplementChanges.Reponse1.Level3,Q150.HelpToImplementChanges.Reponse2.Level1,Q150.HelpToImplementChanges.Reponse2.Level2,Q150.HelpToImplementChanges.Reponse3.Level1,Q150.HelpToImplementChanges.Reponse3.Level2,Q162.MainChallengesOnFarm,Q162.MainChallengesOnFarm.Reponse1.Level1,Q162.MainChallengesOnFarm.Reponse1.Level2,Q162.MainChallengesOnFarm.Reponse2.Level1,Q162.MainChallengesOnFarm.Reponse2.Level2,Q162.MainChallengesOnFarm.Reponse2.Level3,Q162.MainChallengesOnFarm.Reponse3.Level1,Q162.MainChallengesOnFarm.Reponse3.Level2,Q162.MainChallengesOnFarm.Reponse4.Level1,Q163.SolutionsToAddressProblems,Q163.SolutionsToAddressProblems.Reponse1.Level1,Q163.SolutionsToAddressProblems.Reponse1.Level2,Q163.SolutionsToAddressProblems.Reponse1.Level3,Q163.SolutionsToAddressProblems.Reponse2.Level1,Q163.SolutionsToAddressProblems.Reponse2.Level2,Q166.ShareNewFarmingPractice.Example,Q170.ChallengesOfSharingInfo,Q170.ChallengesOfSharingInfo.Reponse1.Level1,Q170.ChallengesOfSharingInfo.Reponse1.Level2,Q170.ChallengesOfSharingInfo.Reponse2.Level1,Q171.MakeSharingEasier,Q171.MakeSharingEasier.Response1.Level1,Q171.MakeSharingEasier.Response1.Level2,Q171.MakeSharingEasier.Response2.Level1,Q21.Income.Other,Q21.Income.Other.Reponse1.Level1,Q21.Income.Other.Reponse1.Level2,Q21.Income.Other.Reponse2.Level1,Q21.Income.Other.Reponse2.Level2,Q28.FarmHealth.Text,Q93.BankAccountChallenges,Q93.BankAccountChallenges.Reponse1.Level1,Q93.BankAccountChallenges.Reponse2.Level1,Q95.BankLoanFacilityChallenges,Q95.BankLoanFacilityChallenges.Reponse1.Level1,Q95.BankLoanFacilityChallenges.Reponse1.Level2,Q95.BankLoanFacilityChallenges.Reponse2.Level1,Q97.BankCreditChallenges.Reponse1.Level1,Q99.SACCOChallenges,Q99.SACCOChallenges.Reponse1.Level1,Q99.SACCOChallenges.Reponse1.Level2,Q99.SACCOChallenges.Reponse2.Level1
97,Best and modern farming practices,Training,Good agricultural practices,,,,,,,more trainibg on how to make cheap but good quality manure,Training,Soil mangement,Manure,,,,,Pests and diseases especially coffee wealt.,Pests,,,,,,,,"I normally buy pestcides
Normally consult farmer promoters for guidance",Support ,Farmer promoters,,Inputs,Pesticides,Mantaining the quality of coffee,People can refuse to come which leads to low turnup,Poor Committment,,,To always attend trainings and acquire training materials,Training,,,,,,,,Best practices,,,,,,,,,,,,
98,Advice on how to properly grow coffee and ensure coffee quality,Training,Good agricultural practices,Quality,,,,,,training on these ideas,Training,,,,,,,"Pests and diseases
Lack of casual workers to help in my plantation.
Price fluctuation.",Pests,,Labour ,Shortage,,Prices,Price fluctuation,,"Always attent trainings
Seeking guidance and advice from the professionals
Reporting thefty Cases to police",Support ,Farmer promoters,,Training ,,Any information I will have learnt,People demand for allowances,Per Diem,,,Sensitising,Sensitization,,,,,,,,Good Weather,,,,,,,,,,,,
99,Information about coffee management.,Training,Good agricultural practices,,,,,,,getting credit facilities like loans at a low interest,Finance,Low interest loans,,,,,,"PESTS AND DISEASES, WEEDS, FINANCES AND LABOUR",Pests,,Weeds,,,Labour ,,Finance,I consult the extention workers,Support ,Extension officers,,,,How to control coffee disease and pest,Low turn up.,Poor Committment,,,"If We can senstise people about the importance of training, they can attend the sessions.",Sensitization,,,,,,,,Best farming practices,,,,,,,,,,,,
100,Coffee farming and Production,Training,Good agricultural practices,,,,,,,provision of loans,Finance,,,,,,,POOR CLIMATE UNFAVOURABLE FOR TOMATO GROWING,Weater,Poor,,,,,,,We prune the affected ones,Cut & Burn Affected Area,,,,,"How to mantain coffee quality and increase productivity
Importance of planting coffee",People normally attend the training but they refuse to implement,People lack necessities to implement new skills,,,I can always advice themp,Training,,,,,,,,Lack of manure and coffee disease,,,,,,,,,,,,
101,How to control coffee wealt,Training,Pest management,,,,,,,financial support,Finance,,,,,,,PESTS AND DISEASES,Pests,,,,,,,,"Consulting extentiom workers
Spraying it",Support ,Extension officers,,Spraying,,How to manage coffee from time of planting up to production and selling.,People have different attitudes and beliefs,Different Opinions,,,To always senstise people about the importance of good coffee management.,Sensitization,,,,,,,,Favourable conditioms,,,,,,,,,,,,
102,Causes of price fluctuation,Information,Prices,Price fluctuation,,,,,,training on growing fruits,Training,Fruits,,,,,,"PESTS AND DISEASES
COFFEE WILT DISEASE",Pests,,,,,,,,Extention workers helped us on how we can control coffee related pests and diseases,Support ,Extension officers,,,,How to control coffee pests and diseases.,No big challenge as long as am trai ed.,No Challenges,,,Always train people and sensitise them on time.,Training,,Sensitization,,,,,,Favourable conditions,,,,,,,,,,,,
103,Improved methods of coffee farming,Training,Good agricultural practices,,,,,,,Getting advice from extension workers.,Training,Extension officer,,,,,,COFFEE PESTS AND DISEASES,Pests,,,,,,,,Spraying with chemicals,Spraying,,,,,How best they can control coffee disease and pests.,At times some people can deliberately refuse to attend and listen.,Poor Committment,,,To always attend trainings,Training,,,,,,,,I added manure and best practices,,,,,,,,,,,,
104,New i deas on how to plant modern types of coffee,Training,New ideas,,Inputs,Modern varieties,,,,more training on goat raring,Livestock,Goats,,,,,,#NAME?,,,,,,,,,Consulting extention workers,Support ,Extension officers,,,,Coffee disease and prevention,Some people refuse to come thus low turn up.,Poor Committment,,,Always sensitise people about the benefits of trainings,Sensitization,,,,,,,,It was affected by snow,,,,,,,,,,,,
105,Modern Coffee practices.,Training,Good agricultural practices,,,,,,,if i was given training,Training,,,,,,,COFFEE WILT DISEASE,Pests,,,,,,,,"Spraying , cut the affected one and the replant",Cut & Burn Affected Area,,,Spraying,,How to plant and harvest good quality coffee,People normally come in small numbers and donot implement what they are trained.,Poor Committment,,People lack necessities to implement new skills,"To inform them earier before the training.
To always invite other experts to conduct or facilitate the training.",Coordination,,Experts,,,,,,Coffee disease affected it,,,,,,,,,,,,
106,Causes of coffee diseases,Training,Pest management,,,,,,,more loans and advances to add on my capital,Finance,,,,,,,CO-OPERATIVE SOCIETY NOT HELPING MUCH WITH GIVING US TOOLS,Lack of support ,,,,,,,,Getting advice from extention Workers,Support ,Extension officers,,,,How best we can prevent coffee diseases.,"People have different attitudes and beliefs.
Some people donot implement what they are trained",fellow farmers do not accept training,,People lack necessities to implement new skills,Always senstise people,Sensitization,,,,,,,,I added manure in my coffee plantation,,,,,,,,,,,,
107,MODERN FARMING PRACTICES,Training,Good agricultural practices,,,,,,,sharing ideas with other farmers,Information,New ideas,,Information,Sharing with other farmers,,,"COFFEE PESTS 
FINANCIAL CONSTRAINTS
INADQUATE LABOUR",Pests,,Finance,,,Labour ,Shortage,,"Normally cut and burn the infected coffee plants
Seeking advice from extension workers",Support ,Extension officers,,Cut & Burn Affected Area,,How intergrate new types of coffee with the old type.,No big challenge.,No Challenges,,,To always give clear guidance and advice.,Training materials,,,,,,,,Drought during flowering,,,,,,,,,,,,
108,USING PESTCIDES INORDER TO CURB PESTS AND DISEASES,Training,Pest management,,,,,,,sharing with friends,Information,Sharing with other farmers,,,,,,PESTS,Pests,,,,,,,,Cut the coffee plant that is affected by the disease,Cut & Burn Affected Area,,,,,Importance if quality coffee,Some people donot follow the guidelines.,Different Opinions,,,To have as many trainings as possible and to always monitor the progress.,Training,,,,,,,,its because my coffee was still young,,,,,,,,,,,,
109,WOULD LIKE TO BE TRAINED ON HOW TO MANAGE AND CONTROL THE COFFEE WILT DISEASE,Training,Pest management,,,,,,,if i get money i will hire labours on my farm.,Finance,Labour,,,,,,"LACK OF FERTILIZERS
PESTS",Pests,,Inputs,Fertilizer,Limited,,,,Cut the affected coffee plants,Cut & Burn Affected Area,,,,,Prevention of coffee diseases,Most people are not interested to implement,Fellow farmers do not accept training,,,"Raising awareness 
Provide insentives to whoever attends like free hoes",Sensitization,,Per Diem,,,,,,I didnot concentrate on coffee,,,,,,,,,,,,
110,"POULTRY FARMING, PIG FARMING, VISITING DEMONSTRATION FARMS",Training,Farm demonstrations,,Livestock,Poultry,,Livestock,Pigs,training majorly,Training,,,,,,,COFFEE PESTS,Pests,,Inputs,Fertilizer,Manure,,,,I always consult the extension workers,Support ,Extension officers,,,,How best to we can prevent coffee diseases and pestd.,"Inadequate time to share with others.
Distance  since it needs some facilitation.",Time,,Travel,"I can reshedule my time table
Get some facilitation",Coordination,,Training materials,,,,,,climatic changes,,,,,,,,,,,,
111,#NAME?,,,,,,,,,Given capital,Finance,Start-up capital,,,,,,"PESTS AND DISEASES
LACK OF MANURE AND FERTILIZERS",Pests,,,,,,,,I always consult extention workers from the society,Support ,Extension officers,,,,I WOULD SHARE WHATEVER KNOWLEDGE I'VE BEEN TAUGHT FOR EXAMPLE MULCHING TO MANAGE SOIL EROSION,Low turnup and lack of interest to some farmers,Poor Committment,,,Need of intensive training,Training,,,,,,,,Favourable weather conditions,,,,,,,,,,,,
112,cattle rareing,Livestock,Cattle,,,,,,,to have money and training on how to do it,Finance,,,Training,,,,"COFFEE PESTS
DRYING OF COFFEE BRANCHES AND LEAVES",Pests,,,,,,,,"we normally cut old plantation
Again we burn the affected coffee stems",Cut & Burn Affected Area,,,,,I WOULD SHARE WHATEVER I'VE LEARNT,#NAME?,-1,,,Extention workers can help in sensitising prople.,Increased support from cooperative,,Sensitization,,,,,,I ncreased manure and efforts,,,,,,,,,,,,
113,"how to treat cattle to produce more milk.
also more exposure visits",Livestock,Cattle,,Training,Farm demonstrations,,,,By funding,Finance,,,,,,,"BANANA BACTERIAL WILT DISEASE, COFFEE WILT DISEASE, THIEVES, LACK OF TARPAULINS TO DRY COFFEE SEEDS",Pests,,Inputs,Equpiment,Drying equipment,Thieves,,,I normally share the challenge with my friends and extention workers,Support ,Extension officers,,Support ,Other farmers,WOULD TEACH THEM WHATEVER I HAVE BEEN TAUGHT,NONE,No Challenges,,,BE GIVEN FARMING TOOLS,Training materials,,,,,,,,coffee disease,,,,,,,,,,,,
114,soil fertility improvement,Training,Soil management,,,,,,,lf given capital,Finance,Start-up capital,,,,,,LACK OF LABOUR TO WORK ON MY FARM,Labour ,Shortage,,,,,,,"I normally report to police
Cut the affected coffer plant and replant",Cut & Burn Affected Area,,,Replant,,WHATEVER I HAVE BEEN TAUGHT,FINANCIAL CONSTRAINTS,Costs,,,GET FUNDING THROUGH CO-OPERATIVE SOCIETIES,Increased support from cooperative,,Funding,,,,,,we use modern farming,,,,,,,,,,,,
115,how to maintain a poultry project,Livestock,Poultry,,,,,,,if i could be suported by loan it would be easy,Finance,,,,,,,COFFEE AND BANANA WILT DISEASE,Pests,,,,,,,,"At times i spray
I also normally weed in time",Farm management,Weed control,,Spraying,,"BURNING AFFECTED COFFEE TREES
PRUNNING
MULCHING
DIGGING TRENCHES TO PREVENT SOIL EROSION",ABSENTISM OF SOME FARMERS DURING CO-OPERATIVE MEETINGS,Poor Committment,,,MEET OFTEN AT THE CO-OPERATIVE SOCIETY,Meet at cooperative society,,,,,,,,Coffee wealt,,,,,,,,,,,,
116,more training on quality seedlings and more training on soil management,Training,Soil management,,Inputs,Seedlings,,,,getting trained on how to secure loans,Training,Securing loans,,,,,,"PESTS AND DISEASES
HAILSTORMS DURING HEAVY RAINS",Pests,,Weather,Extreme,Hail,,,,I normally consult my fellow farmers and extention farmers,Support ,Extension officers,,Support ,Other farmers,I WOULD ENCOURAGE THEM TO JOIN THE CO-OPERATIVE SOCIETY SO THAT THEY BECOME MORE KNOWLEDGABLE,NONE YET,No Challenges,,,IMPROVING UPON COMMUNICATION SKILLS AND METHODS FOR EXAMPLE CALLING THOSE WITH PHONES,Coordination,,,,,,,,Addution of manure in my coffee plantation,,,,,,,,,,,,
117,more training on how to get good but cheap manure,Training,Soil management ,Compost,,,,,,being trained,Training,,,,,,,"PESTS AND DISEASES
LACK OF CAPITAL LOANS TO IMPROVE FARMING
LACK OF MONEY TO BUY GARDENING TOOLS",Pests,,Finance,Equipment,,,,,I cut snd burn coffee disease that has a disease,Cut & Burn Affected Area,,,,,WOULD SHARE WITH THEM ON HOW TO CONSTRUCT COMPOST PITS TO DEPOSIT IN WASTE THAT WOULD LATER BE USED AS MANURE,SOME FARMERS DONT APPLY THE KNOWLEDGE GIVEN TO THEM INTO PRACTICE DUE TO LACK OF FINANCES,People lack necessities to implement new skills,,,ENCOURAGE CO-OPERATIVE SOCIETIES TO GIVE ADVANCE LOANS TO FARMERS,Increased support from cooperative,,Loans,,,,,,Favourable climate,,,,,,,,,,,,
118,"growing mushrooms and adding value to matooke, for example banana chips",Training,Mushrooms,,Training,Value addition,,,,To get aloan from the society,Finance,Farmer groups,,,,,,"I HAVE NO LABOUR TO HELP OUT ON MY FARM. 
AM TOO OLD.",Labour ,Shortage,Age,,,,,,"Always comitted to the contract signed and supply coffee to the society.
Always for advice from the extention workers.",Support ,Extension officers,,Finance,Deliver on contract,BEE KEEPING,ABSENCE OF SOME FARMERS DURING CO-OPERATIVE MEETINGS,Poor Committment,,,NONE YET,NA,,,,,,,,HARSH CLIMATIC CONDITIONS. TOO MUCH SUNSHINE.,,,,,,,,,,,,
119,more training on disease prevention,Training,Pest management,,,,,,,"by getting loans through crop finance,",Finance,,,,,,,"LACK OF GRASS TO USE FOR MULCHING
PESTS AND DISEASES",Pests,,Inputs,Fertilizer,Mulching,,,,"Cut the affected coffee plant and burn them.
A gain I consult extention workers",Cut & Burn Affected Area,,,Support ,Extension officers,WOULD SHARE EVERYTHING I HAVE BEEN TAUGHT,THE CO-OPERATIVE SOCIETY HAS A DISORGANISED       ADMINISTRATION AND TAKES AGES TO PAY FARMERS AFTER SUPPLYING THEM WITH COFFEE,Cooperative Level Challanges,,,IMPROVEMENT OR CHANGE IN CO-OPERATIVE SOCIETY ADMINISTRATION,Increased support from cooperative,,,,,,,,PESTS,,,,,,,,,,,,
120,how to dry coffee,Training,Coffee drying,,,,,,,if some one help me with money then i will solve my problem.,Finance,,,,,,,LACK OF LOAN SCHEMES TO IMPROVE OUR FARMING,Finance,,,,,,,,I Cut the coffee plant that has wealt then burn it,Cut & Burn Affected Area,,,,,BUILDING TRENCHES TO STOP RAIN WATER FROM ERODING SOIL,REDUCTION IN THE FREQUENCY OF FARMER TRAINING MEETINGS AT THE CO-OPERATIVE SOCIETY,Cooperative Level Challanges,,,#NAME?,NA,,,,,,,,GOOD FARMING PRACTICES,,,,,,,,,,,,
121,growing and keeping fruits healthy,Training,Fruits,,,,,,,getting loans from society,Finance,Farmer groups,,,,,,"pests, diseases,and weather changes",Pests,,Weather,Changing,,,,,I normally consult extention workers,Support ,Extension officers,,,,WOULD TEACH THEM THE ADVANTAGES OF EARLY PLANTING,SOME FARMERS DO NOT PUT INTO PRACTICE WHAT THEY HAVE BEEN TAUGHT,People lack necessities to implement new skills,,,INCREASE IN THE FREQUENCY OF FARMER TRAINING MEETINGS,Training,,,,,,,,THE WEATHER HAS BEEN FAVOURABLE,,,,,,,,,,,,
122,growing fruits,Training,Fruits,,,,,,,funding,Finance,,,,,,,banana wilt,Pests,,,,,,,,"Cut and burn the affected coffee plant.
Prune and replant",Cut & Burn Affected Area,,,Replant,,GROWING COFFEE,people's schedules for other things,Time,,Poor Committment,TEACH THEM THE ADVANTAGES OF CARRYING OUT GOOD FARMING PRACTICES,Share benefits,,,,,,,,"ADDED MANURE, PRACTICED MULCHING",,,,,,,,,,,,
123,How prevent coffee pests and diseases,Training,Pest management,,,,,,,to be taught and funding,Finance,,,Training,,,,diseases,Pests,,,,,,,,I always consult my fellow farmers and extention workers,Support ,Other farmers,,,,#NAME?,people in the community do ask for sitting allowances,Per Diem,,,schedule one day for the training,Training,,Coordination,,,,,,INCREASED HARVEST,,,,,,,,,,,,
124,goat raring,Livestock,Goats,,,,,,,l have no idea.,,,,,,,,"coffee wilf and Bctb, lack of maure",Pests,,Inputs,Fertilizer,Manure,,,,I uproot the coffee plant that has wealt and burn it.,Cut & Burn Affected Area,,,,,WOULD SHARE ABOUT CONSTRUCTING COMPOST PITS,The members may ask for drinks and stationally,Per Diem,,,Training on these ideas,Training,,,,,,,,FAVOURABLE WEATHER,,,,,,,,,,,,
125,training on use of organic manure,Training,Soil management ,Organic,,,,,,The society should give us Robuster coffeee.,Inputs,Seedlings,,,,,,labour,Labour ,,,,,,,,I uproot the coffee plant that has a disease and burn it. and then replant a new one.,Cut & Burn Affected Area,,,Replant,,MULCHING,many are redudunt to adopt,Fellow farmers do not accept training,,,provide him with stationally,Per Diem,,,,,,,,PESTS AND DISEASES LIKE THE BANANA WILT DISEASE,,,,,,,,,,,,
126,more training on coffee spacing and growing,Training,Good agricultural practices,,,,,,,getting loan,Finance,,,,,,,weather changes,Weather,Changing,,,,,,,I consult the extention farmers for advice.,Support ,Extension officers,,,,WOULD GIVE THEM IDEAS ON HOW TO IMPROVE OUR FARMING SKILLS SO THAT OUR COMMUNITY AND CO-OPERATIVE DEVELOP,"poor attendance to trainings, reluctant to implement",Fellow farmers do not accept training,,Poor Committment,set demo & trainings,Demonstration farm,,Training,,,,,,EARLY PLANTING,,,,,,,,,,,,
127,training on how to prevent coffee diseases,Training,Pest management,,,,,,,getting loan from the society,Finance,Farmer groups,,,,,,limited labour,Labour ,Shortage,,,,,,,I normally cut burn coffee plant that is already affected.,Cut & Burn Affected Area,,,,,WOULD TEACH THEM TO BURN AFFECTED PLANTS,poor turn-ups for trainings,Poor Committment,,,"give start up capital, give training perdiem",Per Diem,,,,,,,,EDUCATION/TRAINING FROM FARMER TRAINERS,,,,,,,,,,,,
128,How to control pests and diseases in coffee and banana plantations.,Training,Pest management,,,,,,,getting loan from the society.,Finance,Farmer groups,,,,,,"waether changes ,coffee wilt",Weather,Changing,Pests,,,,,,"I cut and burn coffee plant that has wealt.
Consult extention workers",Cut & Burn Affected Area,,,Support ,Extension officers,EVERYTHING I HAVE LEARNT,failure to implement whay you train at your own farm,Fellow farmers do not accept training,,People lack necessities to implement new skills,start up demo site facilitate farmers to have ttainings at demo,Demonstration farm,,,,,,,,TRAINING RECEIVED AT THE CO-OPERATIVE SOCIETY,,,,,,,,,,,,
129,which pest and diseases spray should i use.,Training,Pest management,,,,,,,To hire aland.,Finance,Land,,Finance,Start-up capital,,,diseases and weather changes,Weather,Changing,Pests,,,,,,I cut the the coffee plant that has a disease.,Cut & Burn Affected Area,,,,,WOULD TEACH THEM ABOUT BUILDING COMPOST PITS,transport,Travel,,,consider perdiem,Per Diem,,,,,,,,PESTS AND DISEASES AFFECTING THE COFFEE TREES,,,,,,,,,,,,
130,modern farming,Training,Good agricultural practices,,,,,,,to train me and give capital,Training,,,Finance,,,,diseases and drought,Weather,Drought,Pests,,,,,,Always consult my fellow coffee farmers and extention workers,Support ,Extension officers,,Support ,Other farmers,WOULD SHARE THE IMPORTANCE OF PRUNNING AND ALSO ADVISE THEM NOT TO USE PESTCIDES IN ORDER TO PRODUCE ORGANIC HARVEST,most farmers do not know how to read and write,Poor Education,Literacy,,provide bicycles,Funding to travel,,,,,,,,GOOD FARMING PRACTICES LIKE BUILDING COMPOST PITS,,,,,,,,,,,,
131,how to plant better tea,Training,Good agricultural practices,,,,,,,financial support and training,Training,,,,,,,drought and diseases,Weather,Drought,Pests,,,,,,"I cut the affected coffee plants and burn them, then replant",Cut & Burn Affected Area,,,,,WOULD TEACH THEM TO PRACTICE MIXED FARMING,people lack interest,Poor Committment,,,provide visual aids for them to understand,Training materials,,,,,,,,INCREASE IN THE NUMBER OF TREES PLANTED,,,,,,,,,,,,
132,expertise in good farm managment,Training,Farm mangement,,,,,,,support from outside countries mostly  the women,Support,Women,,,,,,lack of information on bee keeping,Information,Bee keeping,,,,,,,I cut the coffee plant that has wealt and burn it .,Cut & Burn Affected Area,,,,,COFFEE SPACING DURING PLANTING,lack of interest,Poor Committment,,,providing them with sitting allowances,Per Diem,,,,,,,,INCREASED HARVESTS,,,,,,,,,,,,
133,how to do good managment and accounting and keeping records,Training,Farm mangement,,Record keeping,,,,,ready market for chicken and eggs,Market access,Poultry,,,,,,lack of enough space,Farm area,,,,,,,,I cut and uproot coffee plant that is affected,Cut & Burn Affected Area,,,,,PRUNNING,fear to keep bees by the farmer,Fear to keep bees,,,visual aids and mashroom seeds,Training materials,,,,,,,,COFFEE PESTS,,,,,,,,,,,,
134,How to pick tea,Training,Good agricultural practices,,,,,,,government should provide loans to farmers with low interest rate,Finance,Low interest loans,,,,,,drought,Weather,Drought,,,,,,,Consulting the extention workers,Training ,Extension officers,,,,DIGGING COMPOST PITS,lack of patience by the farmers,Poor Committment,,,more training,Training,,,,,,,,SOIL HAS BECOME INFERTILE,,,,,,,,,,,,
135,good agricultural praticed,Training,Good agricultural practices,,,,,,,getting support,Support,,,,,,,fear that bees are dangerous,Fear of bees,,,,,,,,I uproot and burn the plant that has a disease,Cut & Burn Affected Area,,,,,EARLY PLANTING,others give out wrong informations,Wrong Information,,,no challenges,NA,,,,,,,,GOOD WEATHER,,,,,,,,,,,,
136,On soil analysis majorly,Training,Soil management ,Soil quality analysis,,,,,,getting means of transport so that he can deliver his leaves personally,Transport,,,,,,,Alot of droght,Weather,Drought,,,,,,,I consult extention workers for advice,Support ,Extension officers,,,,WOULD TEACH THEM ON HOW TO CONTROL THE COFFEE WILT DISEASE THROUGH PRUNNING,others refuse to follow my advice,Fellow farmers do not accept training,,,training on bee keeping,Training,,,,,,,,"BAD WEATHER, HAILSTORMS",,,,,,,,,,,,
137,tea majorly,Training,Good agricultural practices,,,,,,,availability of finance aid,Finance,,,,,,,pest and diseases.,Pests,,,,,,,,I normally uproot and plant new types of coffee .,Cut & Burn Affected Area,,,,,WOULD TEACH WHATEVER I HAVE BEEN TAUGHT,some farmers lack interest,Poor Committment,,,training to train others,Training,,,,,,,,FAVOURABLE CLIMATE,,,,,,,,,,,,
138,How to manage coffee and banana plantations,Training,Good agricultural practices,Coffee,Training,Good agricultural practices,Banana,,,more training and finance,Training,,,Finance,,,,lack of labours and pests and diseases.,Pests,,Labour ,Shortage,,,,,EMPLOYING LABOUR TO HELP OUT AT THE FARM,Labour,Hire,,,,WOULD SHARE ABOUT HOW TO CONTROL THE COFFEE WILT DISEASE,lack of enough information,Lack of information/resources/demonstrations,,,provide visual aids,Training materials,,,,,,,,POOR CLIMATE LED TO REDUCTION IN COFFEE HARVESTED,,,,,,,,,,,,
139,training on modern farming,Training,Good agricultural practices,,,,,,,timely payment and advance,Payments,Timely,,Payments,Advances,,,pests and bad weather,Pests,,Weather,Poor,,,,,NONE,None,,,,,COFFEE SPACING,opposition from other farmers,Poor Committment,,,more moblization,Share benefits,,,,,,,,I GOT SUPPORT FROM CAFE DIRECT INFORM OF MULCHES,,,,,,,,,,,,
140,How to stop the spread of pests and diseases.,Training,Pest management,,,,,,,factory should help in providing manure to the farmers,Inputs,Fertilizer,Manure,,,,,lack of enough labour,Labour ,Shortage,,,,,,,USING PESTCIDES,Inputs,Pesticides,,,,"WOULD TEACH THEM TO PRUNE, MULCH AND WEED THEIR COFFEE PLANTATIONS",others give irrelevant information,Wrong Information,,,we should consult the extension workers,Increased support from cooperative,,,,,,,,"I GOT SICK, REDUCED MY FARMING ACTIVITY",,,,,,,,,,,,
141,what is the cause of price fractuation? How can i control pests and diseases,Training,Pest management,,Information,Prices,Price fluctuation,,,increase price of tea at mabale factory,Prices,Better prices,,,,,,lack of materials,Inputs,Materials,,,,,,,USING FERTILIZERS,Inputs,Fertilzers,,,,"WOULD TEACH THEM ABOUT PRUNNING, MULCHING",some dont use it so its a waste of time,Fellow farmers do not accept training,,,i can take them to the demonstration farm in order to get clear information,Demonstration farm,,,,,,,,COFFEE DISEASE,,,,,,,,,,,,
142,where can i get pest spray.,Inputs,Spraying,,,,,,,do it in phases so that he invests the money in the other thing,Finance,,,,,,,diseases and lack of enough capital,Pests,,Finance,Capital,,,,,UPROOTING AND BURNING THE AFFECTED COFFEE TREE,Cut & Burn Affected Area,,,,,UPROOTING AFFECTED PLANTS,they dont do what u have told them,Fellow farmers do not accept training,,,nothing,NA,,,,,,,,AVAILABILITY OF ENOUGH LAND TO PLANT,,,,,,,,,,,,
143,How to prunne coffee,Training,Pruning,,,,,,,not sure,,,,,,,,coffee diseases,Pests,,,,,,,,PRUNNING,Pruning ,,,,,"WOULD TEACH THEM ABOUT USING MANURE, MULCHING, PRUNNING",none,No Challenges,,,showing them using examples and demonstrations,Demonstration farm,,,,,,,,HAIL STORMS AFFECTED THE CROPS,,,,,,,,,,,,
144,Clear information on how to use artifical fertilizers.,Training,Pest management,,,,,,,more money to pay workers,Finance,Labour,,,,,,"drought,pest and diseases,lack of labours",Pests,,Weather,Drought,,Labour ,Shortage,,PRUNNING OFF AND BURNING THE AFFECTED BRANCH TO AVOID SPREAD OF DISEASE,Cut & Burn Affected Area,,,,,on how to make it and the benefits,not many,No Challenges,,,provide more training to me and also provide a senior trsiner to support me,Training,,Increased support from cooperative,,,,,,PESTS AND DISEASES,,,,,,,,,,,,
145,How to look after coffee and banana plantations with the aim of increasing productivity.,Training,Yield improvement,Coffee,Training,Yield improvement,Banana,,,provide more trees to farmers,Inputs,Trees,,Finance,,,,no challenge,None,,,,,,,,PLANTING IN TIME,Timely Planting,,,,,how to rare cattle and keep them healthy to increase productivity,people under mind you and dont take them up or even practice what you have shared with them.,Fellow farmers do not accept training,,,provide demonstrations so that people do not reject the information,Demonstration farm,,,,,,,,HARSH WEATHER CONDITIONS,,,,,,,,,,,,
146,how to pluck tea,Training,Plucking,,,,,,,provide more resources,Inputs,,,,,,,"pest and diseases, drought",Pests,,Weather,Drought,,,,,USING MANURE,Soil mangement,Fertilizer,Manure,,,with my local group,people dont seem to care about what is shared and others under mind the info given so its a waste of time,Fellow farmers do not accept training,,Poor Committment,being trained on specific area,Training,,,,,,,,INCREASE IN THE SEEDS PLANTED,,,,,,,,,,,,
147,Learn how to care for cows and soil maintainenance,Training,Livestock,Dairy,Training,Soil management ,,,,being trained and financing,Training,,,Finance,,,,prices majorly,Prices,,,,,,,,NONE YET,None,,,,,control of pests and erosion control,peoples level of understanding is low,Poor Understanding,,,By vistinf other farmers and having workshops.,Visit Fellow Farmers Farms,,,,,,,,LACK OF ENOUGH LABOUR,,,,,,,,,,,,
148,to be taught how to breed good goats and improve on the fish farming,Training,Livestock,Goats,Training,Livestock,Goats,,,provide with money,Finance,,,,,,,Not paying from the group and lack of fertilizer,Finance,Farmer groups not repaying,Inputs,Fertilizer,Limited,,,,PRUNNING OFF THE AFFECTED BRANCHES,Pruning ,,,,,making trenhes,some farmerd are slow in grapping ideas and others feel they know,Poor Understanding,,,through radios because its much easier,Radio,,,,,,,,PLANTING WELL SORTED SEEDS,,,,,,,,,,,,
149,to get farming skills and tea growing,Training,Good agricultural practices,,,,,,,if get transport can help me get manure to applyvin banana,Transport,,,Inputs,Fertilizer,Manure,,pests and diseases is so big,Pests,,Finance,Capital,,,,,BUYING MY OWN TOOLS AND BORROWING WHAT I DON'T HAVE FROM OTHER FARMERS,Inputs,Equpiment,,,,plunning,no problem or challenge,No Challenges,,,through radios,Radio,,,,,,,,GOT TRAINING ABOUT GOOD FARMING PRACTICES,,,,,,,,,,,,
