,Q147.OtherInfoAreas,Q148.IdeasOfChanges,Q150.HelpToImplementChanges,Q162.MainChallengesOnFarm,Q163.SolutionsToAddressProblems,Q166.ShareNewFarmingPractice.Example,Q170.ChallengesOfSharingInfo,Q171.MakeSharingEasier,Q21.Income.Other.O6.Text,Q28.FarmHealth.Text,Q93.BankAccountChallenges,Q95.BankLoanFacilityChallenges,Q97.BankCreditChallenges,Q99.SACCOChallenges
235,,,,,nothing much because its natural,,,,,last year did not have inputs to put in the farm,,,,
236,,,,,nothing much,,,,,"lack of fertilizer, herbicides, late payment",,,,
237,,,,,I hire land. I cut the affected coffee or banana trees and sometimes burn then. I practice terracing.,,,,,"price for tea was low, lack of fertilizers",,,,
238,,,,,we havent done anything,,,,,lack of fertilizer,,,,
239,,,,,thought to get loan from bank but interest rate is high,,,,,"lack of fertilizers, no good workers",,,,
240,,,,,spraying,,,,,"did not apply fertilizer,  less labour",,,,
241,,,,,he doesnot have where to get solution,,,,,lack of fertilizers and manure,,,,
242,,,,,mobilising money from tea,,,,,applied manure,,,,
243,,,,,farmers should be provided with transport means to transport their tea,,,,,the workers have improved on plucking method,,,,
244,,,,,assistance with money,,,,,donot get manure to apply,,,,
245,,,,,bought more fertilizers,,,,,"poor leaf price, difficult in getting workers,",,,,
246,,,,,"has not come up with any solution, living on hope that tommorow will be better",,,,,,,,,
247,,,,,provide more fertilizers to farmers,,,,,,,,,
248,,,,,conpany should provide farmers with fertilizers,,,,,,,,,
249,,,,,getting money from his pocket to pay workers as am waiting for my salary,,,,,,,,,
250,,,,,diversification,,,,,,,,,
251,,,,,"get more loan, other things just do them for himself like prunning so that he should not put more in paying workers",,,,,,,,,
252,,,,,income diversification,,,,,,,,,
253,,,,,should increase payment on tea,,,,,,,,,
254,,,,,planning to buy manure to apply in the farm,,,,,,,,,
255,,,,,if iget money i buy fertilizers and spray to improve on yields,,,,,,,,,
256,,,,,seeized nolonger planting. his depending on what he has,,,,,,,,,
257,,,,,wants to apply  fertilizers in small portions of tea,,,,,,,,,
258,,,,,not sure,,,,,,,,,
259,,,,,decided to buy little manure and herbicides,,,,,,,,,
260,,,,,buy little herbicides and fertilizers,,,,,,,,,
261,,,,,bought few fertilizers,,,,,,,,,
262,,,,,apply little fertilizers,,,,,,,,,
263,,,,,dont have solution because lack money,,,,,,,,,
264,,,,,buy little manure on the little money he has,,,,,,,,,
265,,,,,have applied little manure,,,,,,,,,
266,,,,,"keeping garden clean , destroyed diseased plants, hygiene mostly with banana bacterial wilt, application of organic manure",,,,,,,,,
